="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="(0.14)",="(0.25)",="(0.01)",="(10088.46)",="(1.37)",="(0.00)",="(7.39)"
="year=2009 # icanadolu",="-0.091",="-0.049",="0.001",="-9008.916",="1.722",="0.000",="-2.930"
="",="(0.13)",="(0.22)",="(0.01)",="(9058.29)",="(1.23)",="(0.00)",="(6.64)"
="year=2009 # karadeniz",="0.026",="0.065",="-0.005",="-12794.236",="1.900",="0.001",="-4.004"
="",="(0.12)",="(0.21)",="(0.01)",="(8564.00)",="(1.16)",="(0.00)",="(6.27)"
="year=2009 # marmara",="-0.080",="0.254",="-0.003",="-6312.429",="0.842",="-0.000",="-1.094"
="",="(0.13)",="(0.23)",="(0.01)",="(9345.44)",="(1.27)",="(0.00)",="(6.85)"
="year=2010 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2010 # dogu",="0.007",="0.013",="-0.012",="-17516.969*",="1.778",="0.000",="-8.616"
="",="(0.13)",="(0.22)",="(0.01)",="(8840.92)",="(1.20)",="(0.00)",="(6.48)"
="year=2010 # ege",="-0.035",="-0.063",="-0.006",="-3797.694",="1.109",="0.000",="-7.304"
="",="(0.14)",="(0.25)",="(0.01)",="(10048.82)",="(1.37)",="(0.00)",="(7.36)"
="year=2010 # guneydogu",="-0.128",="-0.035",="-0.014",="-18512.238",="1.300",="0.002",="5.093"
="",="(0.14)",="(0.25)",="(0.01)",="(10115.75)",="(1.37)",="(0.00)",="(7.41)"
="year=2010 # icanadolu",="-0.051",="-0.005",="0.002",="-11112.463",="2.457*",="0.001",="-1.250"
="",="(0.13)",="(0.22)",="(0.01)",="(9068.93)",="(1.23)",="(0.00)",="(6.65)"
="year=2010 # karadeniz",="0.081",="0.033",="-0.007",="-17105.531*",="1.283",="0.000",="-4.120"
="",="(0.12)",="(0.21)",="(0.01)",="(8583.71)",="(1.17)",="(0.00)",="(6.29)"
="year=2010 # marmara",="-0.091",="0.228",="-0.004",="-6909.111",="1.937",="0.000",="-0.416"
="",="(0.13)",="(0.23)",="(0.01)",="(9348.97)",="(1.27)",="(0.00)",="(6.86)"
="year=2011 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2011 # dogu",="0.016",="0.148",="-0.004",="-12933.959",="2.140",="0.001",="-14.397*"
="",="(0.13)",="(0.22)",="(0.01)",="(8880.84)",="(1.21)",="(0.00)",="(6.52)"
="year=2011 # ege",="-0.061",="-0.025",="-0.003",="-2914.553",="0.182",="-0.000",="-10.703"
="",="(0.14)",="(0.25)",="(0.01)",="(10051.82)",="(1.37)",="(0.00)",="(7.37)"
="year=2011 # guneydogu",="-0.168",="0.052",="-0.007",="-12463.677",="0.258",="0.001",="-4.103"
="",="(0.14)",="(0.25)",="(0.01)",="(10139.27)",="(1.38)",="(0.00)",="(7.44)"
="year=2011 # icanadolu",="-0.114",="0.064",="0.008",="-7613.078",="1.645",="0.000",="-7.875"
="",="(0.13)",="(0.22)",="(0.01)",="(9053.38)",="(1.23)",="(0.00)",="(6.63)"
="year=2011 # karadeniz",="-0.013",="0.029",="-0.002",="-11665.195",="0.037",="-0.000",="-11.092"
="",="(0.12)",="(0.21)",="(0.01)",="(8563.38)",="(1.16)",="(0.00)",="(6.28)"
="year=2011 # marmara",="-0.170",="0.277",="-0.002",="-7085.213",="1.174",="-0.000",="-4.121"
="",="(0.13)",="(0.23)",="(0.01)",="(9339.09)",="(1.27)",="(0.00)",="(6.85)"
="year=2012 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2012 # dogu",="0.026",="0.133",="-0.009",="-13062.236",="2.287",="0.000",="-9.744"
="",="(0.13)",="(0.22)",="(0.01)",="(8912.43)",="(1.21)",="(0.00)",="(6.54)"
="year=2012 # ege",="-0.023",="-0.072",="-0.007",="-5145.795",="0.771",="-0.000",="-11.421"
="",="(0.14)",="(0.25)",="(0.01)",="(10050.00)",="(1.37)",="(0.00)",="(7.37)"
="year=2012 # guneydogu",="-0.151",="0.086",="-0.008",="-12954.904",="1.022",="0.001",="-2.278"
="",="(0.14)",="(0.25)",="(0.01)",="(10172.31)",="(1.38)",="(0.00)",="(7.46)"
="year=2012 # icanadolu",="-0.115",="-0.075",="-0.001",="-11815.431",="1.089",="-0.000",="-7.099"
="",="(0.13)",="(0.22)",="(0.01)",="(9045.97)",="(1.23)",="(0.00)",="(6.63)"
="year=2012 # karadeniz",="0.004",="0.041",="-0.007",="-13613.155",="-0.134",="-0.001",="-8.796"
="",="(0.12)",="(0.21)",="(0.01)",="(8581.63)",="(1.17)",="(0.00)",="(6.29)"
="year=2012 # marmara",="-0.123",="0.332",="-0.001",="-6172.306",="0.349",="-0.001",="-8.180"
="",="(0.13)",="(0.23)",="(0.01)",="(9347.92)",="(1.27)",="(0.00)",="(6.85)"
="year=2013 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2013 # dogu",="0.022",="0.109",="-0.008",="-13942.150",="1.344",="0.001",="-11.408"
="",="(0.13)",="(0.22)",="(0.01)",="(8849.34)",="(1.20)",="(0.00)",="(6.49)"
="year=2013 # ege",="-0.005",="-0.084",="-0.007",="-6587.951",="0.520",="-0.000",="-9.693"
="",="(0.14)",="(0.25)",="(0.01)",="(10046.74)",="(1.36)",="(0.00)",="(7.36)"
="year=2013 # guneydogu",="-0.103",="0.216",="-0.000",="-10688.788",="0.595",="0.000",="-0.468"
