="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2013 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2013 # dogu",="0.023",="0.021",="0.001",="0.001",="-0.011",="-0.012"
="",="(0.13)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2013 # ege",="-0.010",="-0.007",="-0.000",="-0.000",="-0.007",="-0.007"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2013 # guneydogu",="-0.096",="-0.105",="0.001",="0.001",="-0.006",="-0.008"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2013 # icanadolu",="-0.126",="-0.125",="-0.000",="-0.000",="-0.000",="-0.001"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2013 # karadeniz",="-0.002",="-0.000",="-0.000",="-0.000",="-0.010",="-0.011"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2013 # marmara",="-0.093",="-0.093",="-0.000",="-0.000",="-0.002",="-0.003"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2014 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2014 # dogu",="0.027",="0.026",="0.001",="0.001",="-0.011",="-0.013"
="",="(0.13)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2014 # ege",="0.007",="0.010",="-0.001",="-0.001",="-0.007",="-0.007"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2014 # guneydogu",="-0.031",="-0.041",="0.002",="0.002",="-0.003",="-0.005"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2014 # icanadolu",="-0.114",="-0.112",="0.000",="0.000",="-0.005",="-0.006"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2014 # karadeniz",="0.033",="0.034",="-0.000",="-0.000",="-0.008",="-0.009"
="",="(0.12)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2014 # marmara",="-0.111",="-0.111",="-0.001",="-0.001",="-0.004",="-0.005"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2015 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2015 # dogu",="0.046",="0.043",="0.001",="0.001",="-0.013",="-0.015"
="",="(0.13)",="(0.12)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2015 # ege",="0.003",="0.006",="-0.001",="-0.001",="-0.008",="-0.008"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2015 # guneydogu",="-0.004",="-0.015",="0.002",="0.002",="-0.006",="-0.008"
="",="(0.14)",="(0.14)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2015 # icanadolu",="-0.084",="-0.083",="-0.000",="-0.000",="0.001",="0.000"
="",="(0.13)",="(0.13)",="(0.00)",="(0.00)",="(0.01)",="(0.01)"
="year=2015 # karadeniz",="0.051",="0.052",="-0.000",="-0.000",="-0.005",="-0.007"
