="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="year=2015 # karadeniz",="0.057",="0.056",="-23337.261**",="-23337.261**",="-0.007",="-0.007"
="",="(0.12)",="(0.12)",="(8313.05)",="(8313.05)",="(0.01)",="(0.01)"
="year=2015 # marmara",="-0.086",="-0.088",="-5997.354",="-5997.354",="-0.004",="-0.004"
="",="(0.13)",="(0.13)",="(9073.72)",="(9073.72)",="(0.01)",="(0.01)"
="year=2016 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2016 # dogu",="0.043",="0.042",="-23218.419**",="-23218.419**",="-0.019*",="-0.019*"
="",="(0.13)",="(0.13)",="(8626.98)",="(8626.98)",="(0.01)",="(0.01)"
="year=2016 # ege",="0.045",="-0.002",="-10358.186",="-10358.186",="-0.011",="-0.011"
="",="(0.14)",="(0.14)",="(9748.15)",="(9748.15)",="(0.01)",="(0.01)"
="year=2016 # guneydogu",="-0.005",="-0.017",="-20436.941*",="-20436.941*",="-0.008",="-0.008"
="",="(0.14)",="(0.14)",="(9834.12)",="(9834.12)",="(0.01)",="(0.01)"
="year=2016 # icanadolu",="-0.088",="-0.106",="-15696.172",="-15696.172",="-0.005",="-0.005"
="",="(0.13)",="(0.13)",="(8811.29)",="(8811.29)",="(0.01)",="(0.01)"
="year=2016 # karadeniz",="0.036",="0.047",="-21976.034**",="-21976.034**",="-0.010",="-0.010"
="",="(0.12)",="(0.12)",="(8375.74)",="(8375.74)",="(0.01)",="(0.01)"
="year=2016 # marmara",="-0.129",="-0.141",="-9017.384",="-9017.384",="-0.005",="-0.005"
="",="(0.13)",="(0.13)",="(9104.43)",="(9104.43)",="(0.01)",="(0.01)"
="year=2017 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2017 # dogu",="0.081",="0.079",="-15405.369",="-15405.369",="-0.007",="-0.007"
="",="(0.13)",="(0.13)",="(8631.37)",="(8631.37)",="(0.01)",="(0.01)"
="year=2017 # ege",="0.056",="0.009",="-9259.414",="-9259.414",="-0.006",="-0.006"
="",="(0.14)",="(0.14)",="(9751.23)",="(9751.23)",="(0.01)",="(0.01)"
="year=2017 # guneydogu",="0.014",="0.001",="-18625.203",="-18625.203",="-0.009",="-0.009"
="",="(0.14)",="(0.15)",="(9857.03)",="(9857.03)",="(0.01)",="(0.01)"
="year=2017 # icanadolu",="-0.061",="-0.080",="-12031.724",="-12031.724",="-0.003",="-0.003"
