="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="year=2012 # guneydogu",="-0.262",="0.045",="-0.008",="-11586.211",="-2.127",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10292.82)",="(7.46)",="(0.00)"
="year=2012 # icanadolu",="-0.136",="-0.067",="-0.001",="-12084.649",="-7.373",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9173.27)",="(6.64)",="(0.00)"
="year=2012 # karadeniz",="-0.016",="0.055",="-0.006",="-14859.532",="-9.041",="-0.001"
="",="(0.13)",="(0.21)",="(0.01)",="(8705.91)",="(6.31)",="(0.00)"
="year=2012 # marmara",="-0.141",="0.313",="-0.001",="-6700.596",="-8.155",="-0.001"
="",="(0.14)",="(0.23)",="(0.01)",="(9475.24)",="(6.86)",="(0.00)"
="year=2013 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2013 # dogu",="-0.025",="0.137",="-0.006",="-12959.658",="-11.980",="0.001"
="",="(0.13)",="(0.22)",="(0.01)",="(9020.84)",="(6.54)",="(0.00)"
="year=2013 # ege",="0.029",="-0.128",="-0.010",="-9402.532",="-8.984",="-0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10214.04)",="(7.39)",="(0.00)"
="year=2013 # guneydogu",="-0.230",="0.163",="-0.000",="-9191.934",="-0.243",="0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10314.43)",="(7.48)",="(0.00)"
="year=2013 # icanadolu",="-0.126",="-0.038",="0.001",="-7436.519",="-2.893",="-0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9176.57)",="(6.64)",="(0.00)"
="year=2013 # karadeniz",="-0.002",="0.004",="-0.007",="-15791.208",="-8.810",="-0.000"
="",="(0.13)",="(0.21)",="(0.01)",="(8689.62)",="(6.30)",="(0.00)"
="year=2013 # marmara",="-0.097",="0.371",="-0.001",="-3208.014",="5.499",="-0.000"
="",="(0.14)",="(0.23)",="(0.01)",="(9494.71)",="(6.87)",="(0.00)"
="year=2014 # akdeniz",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"
="year=2014 # dogu",="-0.012",="0.180",="-0.006",="-16019.357",="-11.211",="0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9032.27)",="(6.55)",="(0.00)"
="year=2014 # ege",="0.046",="-0.157",="-0.009",="-11225.534",="-6.828",="-0.000"
="",="(0.15)",="(0.25)",="(0.01)",="(10207.34)",="(7.39)",="(0.00)"
="year=2014 # guneydogu",="-0.175",="0.206",="0.003",="-9549.075",="4.427",="0.001"
="",="(0.15)",="(0.25)",="(0.01)",="(10324.46)",="(7.49)",="(0.00)"
="year=2014 # icanadolu",="-0.101",="-0.112",="-0.003",="-11393.680",="-3.833",="0.000"
="",="(0.13)",="(0.22)",="(0.01)",="(9175.88)",="(6.64)",="(0.00)"
="year=2014 # karadeniz",="0.028",="0.116",="-0.005",="-18571.053*",="-9.798",="-0.001"
="",="(0.13)",="(0.21)",="(0.01)",="(8712.38)",="(6.37)",="(0.00)"
="year=2014 # marmara",="-0.113",="0.311",="-0.004",="-8097.671",="0.090",="-0.001"
