="",="(1)",="(2)",="(3)"
="",="(0.13)",="(8838.90)",="(0.01)"
="year=2011 # karadeniz",="-0.036",="-14346.811",="-0.004"
="",="(0.12)",="(8376.38)",="(0.01)"
="year=2011 # marmara",="-0.211",="-6978.624",="-0.002"
="",="(0.13)",="(9148.18)",="(0.01)"
="year=2012 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2012 # dogu",="-0.010",="-18225.083*",="-0.014"
="",="(0.12)",="(8649.93)",="(0.01)"
="year=2012 # ege",="-0.013",="-6106.897",="-0.008"
="",="(0.14)",="(9835.88)",="(0.01)"
="year=2012 # guneydogu",="-0.182",="-18495.702",="-0.014"
="",="(0.14)",="(9890.07)",="(0.01)"
="year=2012 # icanadolu",="-0.143",="-13656.277",="-0.003"
="",="(0.13)",="(8838.85)",="(0.01)"
="year=2012 # karadeniz",="-0.021",="-17183.961*",="-0.010"
="",="(0.12)",="(8383.61)",="(0.01)"
="year=2012 # marmara",="-0.168",="-7042.649",="-0.002"
="",="(0.13)",="(9152.01)",="(0.01)"
="year=2013 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2013 # dogu",="-0.004",="-17691.610*",="-0.012"
="",="(0.12)",="(8636.37)",="(0.01)"
="year=2013 # ege",="0.007",="-6830.297",="-0.007"
="",="(0.14)",="(9831.64)",="(0.01)"
="year=2013 # guneydogu",="-0.138",="-16993.865",="-0.007"
="",="(0.14)",="(9898.37)",="(0.01)"
="year=2013 # icanadolu",="-0.140",="-8949.397",="-0.001"
="",="(0.13)",="(8840.24)",="(0.01)"
="year=2013 # karadeniz",="-0.023",="-17054.654*",="-0.010"
="",="(0.12)",="(8381.74)",="(0.01)"
="year=2013 # marmara",="-0.119",="-5035.131",="-0.003"
="",="(0.13)",="(9161.49)",="(0.01)"
="year=2014 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2014 # dogu",="0.000",="-20750.925*",="-0.012"
="",="(0.12)",="(8637.76)",="(0.01)"
="year=2014 # ege",="0.023",="-9214.063",="-0.007"
="",="(0.14)",="(9833.55)",="(0.01)"
="year=2014 # guneydogu",="-0.073",="-17897.641",="-0.005"
="",="(0.14)",="(9904.96)",="(0.01)"
="year=2014 # icanadolu",="-0.127",="-12505.005",="-0.006"
="",="(0.13)",="(8841.24)",="(0.01)"
="year=2014 # karadeniz",="0.010",="-20680.414*",="-0.009"
="",="(0.12)",="(8386.54)",="(0.01)"
="year=2014 # marmara",="-0.137",="-9292.985",="-0.005"
="",="(0.13)",="(9157.28)",="(0.01)"
="year=2015 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2015 # dogu",="0.018",="-23700.456**",="-0.014"
="",="(0.12)",="(8644.60)",="(0.01)"
="year=2015 # ege",="0.019",="-8841.266",="-0.009"
="",="(0.14)",="(9836.14)",="(0.01)"
="year=2015 # guneydogu",="-0.047",="-20918.521*",="-0.008"
="",="(0.14)",="(9923.19)",="(0.01)"
="year=2015 # icanadolu",="-0.099",="-11103.005",="0.000"
="",="(0.13)",="(8842.75)",="(0.01)"
="year=2015 # karadeniz",="0.026",="-21651.109*",="-0.007"
="",="(0.12)",="(8394.27)",="(0.01)"
="year=2015 # marmara",="-0.118",="-5474.497",="-0.004"
="",="(0.13)",="(9159.16)",="(0.01)"
="year=2016 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2016 # dogu",="0.054",="-24450.937**",="-0.019*"
="",="(0.12)",="(8646.17)",="(0.01)"
="year=2016 # ege",="-0.038",="-8467.846",="-0.012"
="",="(0.14)",="(9846.29)",="(0.01)"
="year=2016 # guneydogu",="-0.023",="-22561.524*",="-0.009"
="",="(0.14)",="(9901.68)",="(0.01)"
="year=2016 # icanadolu",="-0.084",="-15958.140",="-0.005"
="",="(0.13)",="(8837.99)",="(0.01)"
="year=2016 # karadeniz",="0.058",="-21577.670*",="-0.009"
="",="(0.12)",="(8398.03)",="(0.01)"
="year=2016 # marmara",="-0.143",="-9168.096",="-0.006"
="",="(0.13)",="(9161.58)",="(0.01)"
="year=2017 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2017 # dogu",="0.089",="-16148.856",="-0.007"
="",="(0.12)",="(8655.57)",="(0.01)"
="year=2017 # ege",="-0.029",="-7222.849",="-0.007"
="",="(0.14)",="(9848.27)",="(0.01)"
="year=2017 # guneydogu",="-0.006",="-21210.533*",="-0.010"
="",="(0.14)",="(9924.32)",="(0.01)"
="year=2017 # icanadolu",="-0.061",="-12285.348",="-0.003"
="",="(0.13)",="(8847.73)",="(0.01)"
="year=2017 # karadeniz",="0.042",="-14264.310",="-0.005"
="",="(0.12)",="(8415.15)",="(0.01)"
="year=2017 # marmara",="-0.135",="-8614.038",="-0.000"
="",="(0.13)",="(9168.72)",="(0.01)"
="year=2018 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2018 # dogu",="0.191",="-15632.145",="-0.004"
="",="(0.12)",="(8703.51)",="(0.01)"
="year=2018 # ege",="-0.008",="-10255.754",="-0.007"
="",="(0.14)",="(9847.20)",="(0.01)"
="year=2018 # guneydogu",="0.025",="-19941.729*",="-0.003"
="",="(0.14)",="(9954.64)",="(0.01)"
="year=2018 # icanadolu",="0.001",="-12375.936",="0.000"
="",="(0.13)",="(8866.07)",="(0.01)"
="year=2018 # karadeniz",="0.098",="-11888.040",="0.003"
="",="(0.12)",="(8440.55)",="(0.01)"
="year=2018 # marmara",="-0.140",="-8959.875",="0.000"
="",="(0.13)",="(9164.14)",="(0.01)"
="year=2019 # akdeniz",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)"
="year=2019 # dogu",="0.150",="-21376.849*",="-0.010"
="",="(0.12)",="(8684.28)",="(0.01)"
="year=2019 # ege",="-0.049",="-9551.912",="-0.012"
="",="(0.14)",="(9851.99)",="(0.01)"
="year=2019 # guneydogu",="0.055",="-25485.783*",="-0.006"
="",="(0.14)",="(10012.07)",="(0.01)"
="year=2019 # icanadolu",="0.003",="-17845.667*",="-0.007"
="",="(0.13)",="(8870.98)",="(0.01)"
="year=2019 # karadeniz",="0.058",="-16913.270*",="-0.004"
="",="(0.12)",="(8425.69)",="(0.01)"
="year=2019 # marmara",="-0.072",="-11506.655",="-0.000"
="",="(0.13)",="(9190.60)",="(0.01)"
="constant",="7.863***",="-19983.550***",="0.032***"
="",="(0.07)",="(5078.43)",="(0.01)"
="R-sqr",="0.897",="0.983",="0.706"
="dfres",="1398",="1324",="1324"
="BIC",="286.8",="32786.6",="-7232.7"
="* p<0.05, ** p<0.01, *** p<0.001"
