="",="(1)",="(2)",="(3)",="(4)"
="",="(0.14)",="(0.00)",="(0.01)",="(9777.31)"
="year=2018 # icanadolu",="-0.011",="-0.000",="-0.001",="-12481.145"
="",="(0.13)",="(0.00)",="(0.01)",="(8725.70)"
="year=2018 # karadeniz",="0.097",="-0.000",="0.000",="-13956.957"
="",="(0.12)",="(0.00)",="(0.01)",="(8298.04)"
="year=2018 # marmara",="-0.111",="-0.001",="0.000",="-9979.886"
="",="(0.13)",="(0.00)",="(0.01)",="(8982.32)"
="year=2019 # akdeniz",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)"
="year=2019 # dogu",="0.173",="-0.001",="-0.009",="-20640.702*"
="",="(0.13)",="(0.00)",="(0.01)",="(8513.72)"
="year=2019 # ege",="-0.013",="-0.001",="-0.013",="-12129.314"
="",="(0.14)",="(0.00)",="(0.01)",="(9654.15)"
="year=2019 # guneydogu",="0.074",="0.001",="-0.003",="-21138.114*"
="",="(0.15)",="(0.00)",="(0.01)",="(9829.85)"
="year=2019 # icanadolu",="-0.010",="0.000",="-0.008",="-17236.709*"
="",="(0.13)",="(0.00)",="(0.01)",="(8730.57)"
="year=2019 # karadeniz",="0.053",="-0.000",="-0.007",="-18718.130*"
="",="(0.12)",="(0.00)",="(0.01)",="(8284.84)"
="year=2019 # marmara",="-0.037",="-0.001",="0.001",="-11342.851"
="",="(0.13)",="(0.00)",="(0.01)",="(9008.57)"
="constant",="7.833***",="0.001",="0.028***",="-20829.980***"
="",="(0.07)",="(0.00)",="(0.01)",="(5027.86)"
="R-sqr",="0.894",="0.271",="0.723",="0.983"
="dfres",="1398",="1396",="1324",="1324"
="BIC",="320.3",="-14365.6",="-7318.9",="32735.8"
="* p<0.05, ** p<0.01, *** p<0.001"
