province,district,2000,2001,2002,2003,2004,2005,2006,2007
isparta,egirdir,40996,40755,40513,40272,39910,39547,39306,39064
isparta,gelendost,22370,21759,21148,20537,19620,18703,18092,17481
isparta,gonen,16894,15754,14614,13474,11765,10055,8915,7775
isparta,keciborlu,23120,22246,21373,20499,19189,17878,17005,16131
isparta,merkez,170713,175147,179581,184015,190667,197318,201752,206186
isparta,sarkikaraagac,52164,49193,46222,43251,38796,34339,31368,28397
isparta,senirkent,25828,24223,22618,21013,18607,16199,14594,12989
isparta,sutculer,18839,18193,17547,16901,15933,14964,14318,13672
isparta,uluborlu,13248,12452,11656,10859,9665,8471,7674,6878
isparta,yalvac,101628,96050,90472,84894,76527,68160,62582,57004
isparta,yenisarbademli,5925,5522,5119,4715,4111,3506,3102,2699
istanbul,adalar,17760,16848,15935,15023,13654,12285,11373,10460
istanbul,avcilar,233749,244980,256211,267442,284288,301134,312365,323596
istanbul,bagcilar,556519,576863,597206,617550,648065,678580,698924,719267
istanbul,bahcelievler,478623,490259,501895,513531,530985,548439,560075,571711
istanbul,bakirkoy,208398,209201,210004,210807,212011,213215,214018,214821
istanbul,bayrampasa,246006,249280,252554,255827,260738,265649,268922,272196
istanbul,besiktas,190813,190901,190988,191076,191207,191338,191426,191513
istanbul,beykoz,210832,214707,218582,222457,228271,234083,237958,241833
istanbul,beyoglu,231900,233820,235739,237659,240538,243417,245337,247256
istanbul,buyukcekmece,384089,422175,460260,498346,555475,612603,650688,688774
istanbul,catalca,81589,82535,83481,84427,85847,87266,88212,89158
istanbul,eminonu,55635,52750,49866,46981,42654,38327,35442,32557
istanbul,esenler,380709,397775,414841,431906,457505,483104,500169,517235
istanbul,eyup,255912,264615,273317,282020,295074,308127,316830,325532
istanbul,fatih,403508,405937,408366,410795,414440,418083,420512,422941
istanbul,gaziosmanpasa,752389,784971,817554,850136,899010,947883,980466,1013048
istanbul,gungoren,272950,278649,284349,290048,298598,307146,312846,318545
istanbul,kadikoy,663299,673470,683642,693813,709071,724327,734499,744670
istanbul,kagithane,345239,354363,363487,372610,386296,399982,409105,418229
istanbul,kartal,407865,424533,441201,457869,482871,507873,524541,541209
istanbul,kucukcekmece,594524,618383,642241,666100,701888,737675,761534,785392
istanbul,maltepe,355384,362851,370317,377784,388984,400184,407650,415117
istanbul,pendik,389657,406011,422364,438718,463249,487779,504132,520486
istanbul,sariyer,242543,246776,251009,255242,261592,267941,272174,276407
istanbul,sile,32447,31537,30628,29718,28353,26989,26079,25169
istanbul,silivri,108155,110306,112457,114608,117836,121062,123213,125364
istanbul,sisli,270674,276175,281677,287178,295430,303682,309183,314684
istanbul,sultanbeyli,175700,187832,199965,212097,230295,248494,260626,272758
istanbul,tuzla,123225,128477,133729,138980,146858,154736,159987,165239
istanbul,umraniye,605855,642281,678706,715132,769771,824409,860834,897260
istanbul,uskudar,495118,506062,517005,527949,544364,560779,571723,582666
istanbul,zeytinburnu,247669,252803,257938,263072,270773,278475,283609,288743
izmir,aliaga,57192,57548,57905,58261,58796,59330,59687,60043
izmir,balcova,66877,67872,68867,69862,71355,72847,73842,74837
izmir,bayindir,47214,46581,45949,45316,44367,43418,42785,42152
izmir,bergama,106536,106042,105547,105053,104312,103570,103075,102581
izmir,beydag,14147,14066,13985,13904,13784,13662,13581,13500
izmir,bornova,396770,406693,416616,426539,441423,456307,466230,476153
izmir,buca,315136,325860,336585,347309,363395,379482,390206,400930
izmir,cesme,37372,36175,34978,33781,31986,30190,28993,27796
izmir,cigli,113543,117382,121220,125059,130817,136574,140413,144251
izmir,dikili,30115,29769,29423,29077,28559,28040,27694,27348
izmir,foca,36107,35412,34718,34023,32981,31939,31244,30549
izmir,gaziemir,87692,90392,93092,95792,99842,103891,106591,109291
izmir,guzelbahce,18190,18323,18456,18589,18790,18989,19122,19255
izmir,karaburun,13446,12770,12095,11419,10405,9392,8716,8040
izmir,karsiyaka,438764,448317,457869,467422,481751,496079,505632,515184
izmir,kemalpasa,73114,74197,75280,76363,77987,79611,80694,81777
izmir,kinik,32109,31588,31066,30545,29763,28981,28459,27938
izmir,kiraz,44910,44930,44951,44971,45001,45032,45052,45072
izmir,konak,782309,790549,798788,807028,819388,831747,839986,848226
izmir,menderes,73002,71885,70768,69651,67975,66299,65182,64065
izmir,menemen,114457,116017,117576,119136,121476,123815,125374,126934
izmir,narlidere,54107,55026,55944,56863,58241,59618,60537,61455
izmir,odemis,128259,128258,128258,128257,128256,128255,128254,128253
izmir,seferihisar,34761,33645,32528,31412,29738,28063,26946,25830
izmir,selcuk,33594,33645,33696,33747,33824,33900,33951,34002
izmir,tire,78658,78367,78075,77784,77347,76910,76618,76327
izmir,torbali,93216,96502,99789,103075,108004,112934,116220,119506
izmir,urla,49269,49118,48966,48815,48588,48361,48209,48058
kahramanmaras,afsin,92718,91727,90735,89744,88257,86769,85778,84786
kahramanmaras,andirin,41051,41034,41017,41000,40975,40949,40932,40915
kahramanmaras,caglayancerit,29580,29238,28897,28555,28042,27530,27188,26846
kahramanmaras,ekinozu,17102,16925,16748,16570,16305,16039,15861,15684
kahramanmaras,elbistan,128267,128406,128545,128684,128893,129101,129240,129379
kahramanmaras,goksun,76033,73348,70663,67978,63951,59923,57238,54553
kahramanmaras,merkez,465370,469818,474265,478713,485384,492055,496503,500950
kahramanmaras,nurhak,17260,16926,16592,16258,15757,15255,14921,14587
kahramanmaras,pazarcik,72628,72870,73111,73353,73715,74077,74319,74560
kahramanmaras,turkoglu,62375,62347,62320,62292,62251,62209,62182,62154
karabuk,eflani,12270,11935,11601,11266,10764,10262,9927,9592
karabuk,eskipazar,16365,15972,15578,15185,14595,14004,13611,13217
karabuk,merkez,116804,117089,117374,117659,118087,118514,118799,119084
karabuk,ovacik,5455,5199,4943,4687,4303,3919,3663,3407
karabuk,safranbolu,47257,47578,47898,48219,48700,49180,49501,49821
karabuk,yenice,26951,25367,23783,22199,19824,17448,15864,14280
karaman,ayranci,13212,14478,15745,17011,18910,20810,22076,23342
karaman,basyayla,8155,8460,8765,9070,9527,9984,10289,10594
karaman,ermenek,42643,37996,33349,28701,21731,14760,10112,5465
karaman,kazimkarabekir,5442,8660,11877,15095,19921,24747,27965,31182
karaman,merkez,152450,133937,115425,96912,69144,41374,22862,4349
karaman,sariveliler,21308,38667,56026,73385,99423,125461,142820,160179
kars,akyaka,14526,14299,14073,13846,13506,13166,12939,12712
kars,arpacay,24995,24580,24165,23749,23127,22504,22088,21673
kars,digor,25125,25350,25575,25800,26138,26475,26700,26925
kars,kagizman,48908,49118,49327,49537,49852,50166,50375,50585
kars,merkez,114071,113618,113164,112711,112031,111350,110897,110443
kars,sarikamis,57026,56347,55667,54988,53969,52950,52270,51591
kars,selim,25480,25440,25401,25361,25301,25242,25202,25162
kars,susuz,14885,14664,14442,14221,13889,13557,13335,13114
kastamonu,abana,4273,4184,4095,4006,3874,3740,3651,3562
kastamonu,agli,4193,4082,3971,3860,3695,3528,3417,3306
kastamonu,arac,24180,23789,23399,23008,22422,21836,21445,21054
kastamonu,azdavay,9019,8876,8734,8591,8378,8163,8021,7878
kastamonu,bozkurt,10159,9958,9756,9555,9253,8951,8749,8548
kastamonu,catalzeytin,8508,8269,8030,7791,7434,7075,6836,6597
kastamonu,cide,23161,22814,22466,22119,21598,21077,20729,20382
kastamonu,daday,11181,11053,10926,10798,10607,10415,10288,10160
kastamonu,devrekani,15855,15591,15327,15063,14667,14270,14006,13742
kastamonu,doganyurt,9668,9577,9486,9395,9259,9122,9031,8940
kastamonu,hanonu,5545,5413,5281,5148,4950,4752,4619,4487
kastamonu,ihsangazi,7068,6971,6875,6778,6633,6488,6391,6294
kastamonu,inebolu,26848,26579,26311,26042,25640,25236,24968,24699
kastamonu,kure,10223,9916,9609,9302,8841,8380,8073,7766
kastamonu,merkez,102059,103718,105377,107036,109526,112014,113673,115332
kastamonu,pinarbasi,5978,5898,5818,5738,5618,5497,5417,5337
kastamonu,senpazar,6494,6375,6255,6136,5957,5777,5658,5538
kastamonu,seydiler,5269,5145,5020,4896,4710,4523,4398,4274
kastamonu,taskopru,43800,43503,43206,42909,42464,42018,41721,41424
kastamonu,tosya,41995,41876,41758,41639,41462,41283,41165,41046
kayseri,akkisla,9864,9709,9555,9400,9169,8936,8782,8627
kayseri,bunyan,39542,38988,38433,37879,37047,36215,35661,35106
kayseri,develi,70893,70243,69594,68944,67969,66995,66345,65695
kayseri,felahiye,16650,15436,14222,13008,11187,9366,8152,6938
kayseri,hacilar,20896,19772,18648,17524,15839,14153,13029,11905
kayseri,incesu,22616,22350,22084,21818,21420,21021,20755,20489
kayseri,kocasinan,321032,326605,332178,337750,346110,354469,360041,365614
kayseri,melikgazi,311322,325543,339765,353986,375318,396650,410871,425092
kayseri,ozvatan,10482,9755,9028,8300,7210,6119,5391,4664
kayseri,pinarbasi,35388,34827,34266,33704,32863,32021,31459,30898
kayseri,sarioglan,27801,26512,25224,23935,22002,20069,18780,17491
kayseri,sariz,14596,14360,14123,13887,13533,13178,12941,12705
kayseri,talas,55509,58030,60551,63071,66853,70634,73154,75675
kayseri,tomarza,35808,34919,34030,33141,31809,30475,29586,28697
kayseri,yahyali,43203,42532,41861,41190,40183,39176,38505,37834
kayseri,yesilhisar,24830,23934,23037,22141,20796,19451,18555,17658
kilis,elbeyli,7992,7832,7673,7513,7273,7034,6874,6714
kilis,merkez,87387,87975,88564,89152,90035,90917,91506,92094
kilis,musabeyli,13895,13928,13962,13995,14045,14095,14128,14161
kilis,polateli,5450,5455,5460,5464,5472,5479,5483,5488
kirikkale,bahsili,8525,8350,8174,7999,7736,7472,7297,7121
kirikkale,baliseyh,13702,13017,12332,11647,10619,9591,8906,8221
kirikkale,celebi,7210,6581,5952,5323,4380,3436,2807,2178
kirikkale,delice,31042,28541,26040,23539,19789,16037,13536,11035
kirikkale,karakecili,8296,7738,7181,6623,5787,4950,4393,3835
kirikkale,keskin,59150,54428,49705,44983,37900,30816,26093,21371
kirikkale,merkez,225005,222390,219775,217159,213237,209314,206698,204083
kirikkale,sulakyurt,16480,15598,14717,13835,12513,11190,10309,9427
kirikkale,yahsihan,14098,13956,13814,13672,13460,13247,13105,12963
kirklareli,babaeski,53655,53425,53195,52965,52620,52275,52045,51815
kirklareli,demirkoy,11407,11122,10837,10552,10126,9698,9413,9128
kirklareli,kofcaz,4166,4056,3947,3837,3672,3508,3398,3288
kirklareli,luleburgaz,117606,119202,120798,122394,124789,127183,128779,130375
kirklareli,merkez,80730,81061,81392,81723,82220,82716,83047,83378
kirklareli,pehlivankoy,5892,5729,5566,5402,5158,4913,4749,4586
kirklareli,pinarhisar,22729,22430,22131,21832,21385,20936,20637,20338
kirklareli,vize,32276,32035,31794,31553,31192,30830,30589,30348
kirsehir,akcakent,7700,7520,7340,7160,6891,6621,6441,6261
kirsehir,akpinar,13349,13025,12701,12376,11890,11404,11079,10755
kirsehir,boztepe,10189,9754,9318,8883,8230,7577,7141,6706
kirsehir,cicekdagi,21059,20681,20304,19926,19360,18793,18416,18038
kirsehir,kaman,60919,58904,56890,54875,51853,48831,46816,44801
kirsehir,merkez,115078,115339,115600,115860,116252,116643,116903,117164
kirsehir,mucur,24945,24258,23570,22883,21852,20820,20133,19445
kocaeli,derince,97283,99786,102288,104791,108545,112298,114801,117303
kocaeli,gebze,421932,434352,446772,459192,477822,496451,508871,521291
kocaeli,golcuk,107615,110662,113709,116756,121328,125898,128945,131992
kocaeli,kandira,52418,51781,51144,50507,49552,48596,47959,47322
kocaeli,karamursel,48508,48548,48589,48629,48690,48750,48791,48831
kocaeli,korfez,105295,107544,109794,112043,115417,118791,121040,123289
kocaeli,merkez,373034,382392,391750,401108,415145,429182,438540,447898
konya,ahirli,14254,13232,12211,11189,9656,8124,7102,6080
konya,akoren,17230,15939,14647,13356,11419,9482,8190,6899
konya,aksehir,114918,113032,111146,109260,106432,103603,101717,99831
konya,altinekin,23062,22039,21015,19992,18457,16921,15898,14874
konya,beysehir,118144,112465,106786,101107,92589,84070,78391,72712
konya,bozkir,55067,52190,49314,46437,42123,37807,34931,32054
konya,celtik,14460,14091,13721,13352,12798,12244,11874,11505
konya,cihanbeyli,75871,74209,72546,70884,68391,65897,64234,62572
konya,cumra,104576,99535,94494,89453,81891,74329,69288,64247
konya,derbent,14372,13303,12234,11165,9561,7957,6888,5819
konya,derebucak,19053,17889,16725,15561,13815,12068,10904,9740
konya,doganhisar,36162,34456,32749,31043,28483,25923,24217,22510
konya,emirgazi,14698,14203,13708,13213,12472,11729,11234,10739
konya,eregli,126117,127157,128197,129237,130798,132358,133398,134438
konya,guneysinir,24301,22674,21047,19420,16981,14540,12913,11286
konya,hadim,59941,54510,49078,43647,35500,27353,21921,16490
konya,halkapinar,6255,6143,6030,5918,5750,5581,5468,5356
konya,huyuk,52110,47990,43870,39749,33569,27389,23268,19148
konya,ilgin,75681,73948,72214,70481,67881,65281,63547,61814
konya,kadinhani,41844,41049,40254,39459,38266,37073,36278,35483
konya,karapinar,55734,54870,54006,53142,51846,50549,49685,48821
konya,karatay,214589,218869,223148,227428,233848,240267,244546,248826
konya,kulu,72279,69040,65801,62562,57703,52844,49605,46366
konya,meram,267878,272480,277083,281685,288588,295492,300094,304696
konya,sarayonu,36525,35561,34597,33633,32187,30741,29777,28813
konya,selcuklu,348329,363067,377805,392543,414650,436757,451495,466233
konya,seydisehir,85456,82749,80042,77334,73274,69213,66505,63798
konya,taskent,46396,41659,36921,32184,25078,17972,13234,8497
konya,tuzlukcu,9783,9581,9379,9177,8874,8571,8369,8167
konya,yalihuyuk,5575,5100,4626,4151,3440,2727,2253,1778
konya,yunak,41506,40004,38502,37000,34747,32494,30992,29490
kutahya,altintas,25271,24652,24032,23413,22484,21555,20935,20316
kutahya,aslanapa,13094,12964,12833,12703,12508,12312,12181,12051
kutahya,cavdarhisar,13538,12959,12380,11801,10933,10064,9485,8906
kutahya,domanic,19560,19348,19135,18923,18604,18285,18073,17860
kutahya,dumlupinar,5494,5217,4940,4663,4247,3831,3554,3277
kutahya,emet,45994,43299,40605,37910,33869,29826,27132,24437
kutahya,gediz,77483,74580,71677,68774,64420,60065,57162,54259
kutahya,hisarcik,20902,20140,19378,18616,17474,16331,15569,14807
kutahya,merkez,207905,211613,215321,219029,224592,230154,233862,237570
kutahya,pazarlar,12409,11744,11079,10413,9416,8418,7752,7087
kutahya,saphane,11715,11213,10711,10208,9455,8702,8199,7697
kutahya,simav,103763,100319,96875,93431,88265,83098,79654,76210
kutahya,tavsanli,99775,99732,99690,99647,99583,99519,99476,99433
malatya,akcadag,48670,46329,43988,41646,38135,34623,32281,29940
malatya,arapkir,16625,15981,15336,14692,13726,12759,12114,11470
malatya,arguvan,10594,10317,10040,9763,9349,8933,8656,8379
malatya,battalgazi,28085,28030,27975,27919,27837,27754,27698,27643
malatya,darende,54438,51823,49207,46592,42669,38745,36130,33514
malatya,dogansehir,60708,58206,55703,53201,49447,45693,43191,40688
malatya,doganyol,10778,10059,9340,8621,7543,6464,5745,5026
malatya,hekimhan,42515,40168,37821,35474,31954,28433,26086,23739
malatya,kale,9569,9159,8748,8338,7723,7107,6696,6286
malatya,kuluncak,20882,19409,17936,16463,14255,12045,10572,9099
malatya,merkez,457566,457154,456743,456331,455713,455096,454684,454272
malatya,poturge,28382,27686,26989,26293,25248,24203,23507,22810
malatya,yazihan,19295,18882,18470,18057,17438,16819,16406,15993
malatya,yesilyurt,45551,44008,42465,40922,38607,36292,34749,33206
manisa,ahmetli,18852,18474,18097,17719,17152,16586,16208,15830
manisa,akhisar,152582,153154,153727,154299,155158,156016,156589,157161
manisa,alasehir,93760,94233,94705,95178,95887,96596,97068,97541
manisa,demirci,59314,58395,57475,56556,55177,53797,52878,51958
manisa,golmarmara,17831,17613,17395,17177,16850,16523,16305,16087
manisa,gordes,38110,37493,36875,36258,35332,34406,33788,33171
manisa,kirkagac,48303,48628,48953,49278,49766,50253,50578,50903
manisa,koprubasi,10851,10726,10601,10476,10289,10101,9976,9851
manisa,kula,52986,52367,51748,51129,50201,49272,48653,48034
manisa,merkez,278555,285279,292003,298727,308813,318898,325622,332346
manisa,salihli,149151,149884,150617,151350,152451,153550,154283,155016
manisa,sarigol,35621,35655,35689,35723,35774,35825,35859,35893
manisa,saruhanli,68134,66893,65652,64411,62549,60687,59446,58205
manisa,selendi,26061,25848,25635,25421,25102,24782,24568,24355
manisa,soma,89038,90126,91213,92301,93933,95564,96651,97739
manisa,turgutlu,121020,122871,124723,126574,129351,132128,133979,135830
mardin,dargecit,27611,27533,27455,27377,27261,27144,27066,26988
mardin,derik,55278,55637,55996,56355,56895,57433,57792,58151
mardin,kiziltepe,183475,185375,187274,189174,192024,194873,196772,198672
mardin,mazidagi,27434,27897,28359,28822,29516,30210,30672,31135
mardin,merkez,108340,111162,113984,116806,121039,125272,128094,130916
mardin,midyat,128085,126329,124574,122818,120185,117551,115796,114040
mardin,nusaybin,103863,105438,107014,108589,110952,113315,114890,116465
mardin,omerli,14584,14693,14801,14910,15073,15236,15344,15453
mardin,savur,34402,34610,34818,35026,35338,35650,35858,36066
mardin,yesilli,22026,21509,20993,20476,19701,18926,18409,17892
mersin,anamur,83864,81362,78861,76359,72606,68854,66352,63850
mersin,aydincik,11501,11519,11538,11556,11583,11611,11629,11647
mersin,bozyazi,43835,41626,39417,37207,33894,30580,28370,26161
mersin,camliyayla,18964,18074,17184,16294,14959,13624,12734,11844
mersin,erdemli,142355,140404,138453,136501,133575,130648,128696,126745
mersin,gulnar,38292,37729,37165,36602,35757,34912,34348,33785
mersin,merkez,733660,745115,756570,768025,785207,802389,813844,825299
mersin,mut,74373,73371,72369,71367,69864,68360,67358,66356
mersin,silifke,156351,150769,145188,139606,131234,122861,117280,111698
mersin,tarsus,348205,344499,340792,337086,331526,325966,322260,318553
mugla,bodrum,97826,98782,99738,100694,102128,103562,104518,105474
mugla,dalaman,28148,28544,28941,29337,29931,30526,30922,31318
mugla,datca,13914,14029,14145,14260,14433,14606,14721,14836
mugla,fethiye,154209,156611,159013,161415,165019,168622,171024,173426
mugla,kavaklidere,12548,12374,12199,12025,11764,11502,11327,11153
mugla,koycegiz,29196,29596,29996,30396,30996,31595,31995,32395
mugla,marmaris,79302,78572,77842,77112,76017,74921,74191,73461
mugla,merkez,83511,84848,86185,87522,89528,91533,92870,94207
mugla,milas,112808,113771,114733,115696,117140,118583,119546,120508
mugla,ortaca,35670,36167,36665,37162,37908,38654,39151,39648
mugla,ula,21944,22133,22322,22511,22794,23077,23266,23455
mugla,yatagan,46252,46255,46258,46261,46265,46269,46272,46275
mus,bulanik,99819,97996,96172,94349,91614,88879,87055,85232
mus,haskoy,39915,38974,38033,37091,35680,34268,33326,32385
mus,korkut,32416,31622,30828,30034,28843,27652,26858,26064
mus,malazgirt,68990,67899,66808,65717,64082,62445,61354,60263
mus,merkez,171023,170642,170262,169881,169311,168739,168359,167978
mus,varto,41491,40503,39515,38527,37045,35563,34575,33587
nevsehir,acigol,24844,24469,24095,23720,23158,22596,22221,21846
nevsehir,avanos,43131,42130,41128,40127,38625,37123,36121,35120
nevsehir,derinkuyu,24631,24287,23943,23599,23084,22568,22224,21880
nevsehir,gulsehir,31664,30962,30261,29559,28507,27454,26753,26051
nevsehir,hacibektas,18933,18092,17251,16410,15149,13887,13046,12205
nevsehir,kozakli,23629,22721,21813,20905,19543,18180,17272,16364
nevsehir,merkez,105078,106092,107107,108121,109642,111164,112178,113192
nevsehir,urgup,38004,37429,36853,36278,35415,34551,33976,33400
nigde,altunhisar,22284,21564,20844,20123,19043,17963,17242,16522
nigde,bor,63020,62627,62233,61840,61250,60660,60266,59873
nigde,camardi,20302,19676,19050,18424,17485,16545,15919,15293
nigde,ciftlik,32151,31787,31422,31058,30512,29965,29600,29236
nigde,merkez,177396,178846,180297,181747,183923,186098,187549,188999
nigde,ulukisla,32928,31531,30135,28738,26643,24548,23151,21754
ordu,akkus,49799,47707,45614,43522,40383,37244,35152,33059
ordu,aybasti,31071,30512,29953,29394,28555,27716,27157,26598
ordu,camas,13650,13277,12904,12531,11973,11413,11040,10667
ordu,catalpinar,23192,22325,21459,20592,19293,17992,17126,16259
ordu,caybasi,15372,15339,15306,15273,15224,15174,15141,15108
ordu,fatsa,120774,117694,114614,111534,106915,102295,99215,96135
ordu,golkoy,66491,62635,58779,54923,49139,43354,39498,35642
ordu,gulyali,10566,10266,9966,9666,9216,8765,8465,8165
ordu,gurgentepe,36860,34765,32670,30574,27432,24289,22193,20098
ordu,ikizce,30362,28979,27597,26214,24141,22066,20684,19301
ordu,kabaduz,11049,10482,9915,9347,8497,7646,7078,6511
ordu,kabatas,20644,19862,19079,18297,17124,15950,15167,14385
ordu,korgan,41628,40644,39660,38676,37200,35723,34739,33755
ordu,kumru,44307,42891,41474,40058,37934,35809,34392,32976
ordu,merkez,150586,152741,154897,157052,160286,163518,165674,167829
ordu,mesudiye,28551,26498,24446,22393,19314,16235,14182,12129
ordu,persembe,37512,37105,36699,36292,35683,35072,34666,34259
ordu,ulubey,29227,28103,26979,25855,24169,22483,21359,20235
ordu,unye,126124,124396,122668,120939,118347,115755,114026,112298
osmaniye,bahce,26398,25745,25092,24439,23461,22481,21828,21175
osmaniye,duzici,83709,82698,81686,80675,79158,77640,76629,75617
osmaniye,hasanbeyli,7101,6896,6691,6486,6180,5872,5667,5462
osmaniye,kadirli,102417,103547,104677,105806,107501,109196,110325,111455
osmaniye,merkez,207862,208165,208468,208771,209225,209679,209982,210285
osmaniye,sumbas,16776,16659,16541,16424,16248,16072,15954,15837
osmaniye,toprakkale,14519,14335,14152,13968,13692,13417,13233,13049
rize,ardesen,58499,56002,53505,51008,47264,43518,41021,38524
rize,camlihemsin,8237,7960,7684,7407,6992,6577,6300,6023
rize,cayeli,51816,50603,49389,48176,46356,44536,43322,42109
rize,derepazari,10239,9916,9592,9269,8784,8298,7975,7651
rize,findikli,16740,16592,16444,16296,16074,15852,15704,15556
rize,guneysu,16522,16034,15546,15057,14325,13593,13104,12616
rize,hemsin,4435,4173,3912,3650,3258,2865,2604,2342
rize,ikizdere,10710,10126,9541,8957,8080,7203,6619,6034
rize,iyidere,10074,9898,9721,9545,9281,9016,8839,8663
rize,kalkandere,19131,18329,17526,16724,15521,14317,13514,12712
rize,merkez,127320,128062,128805,129547,130660,131774,132516,133258
rize,pazar,32215,32034,31852,31671,31399,31127,30945,30764
sakarya,akyazi,77536,78251,78966,79681,80753,81825,82540,83255
sakarya,ferizli,24383,24272,24160,24049,23882,23714,23603,23491
sakarya,geyve,44907,45034,45161,45288,45479,45669,45796,45923
sakarya,hendek,63703,65101,66500,67898,69996,72093,73492,74890
sakarya,karapurcek,11073,11220,11367,11514,11736,11956,12103,12250
sakarya,karasu,54630,54251,53872,53492,52924,52355,51975,51596
sakarya,kaynarca,24339,24217,24096,23974,23792,23609,23488,23366
sakarya,kocaali,30676,29907,29137,28368,27214,26060,25290,24521
sakarya,merkez,340825,349846,358867,367888,381421,394952,403973,412994
sakarya,pamukova,24072,24284,24496,24708,25026,25343,25555,25767
sakarya,sapanca,36496,36378,36260,36142,35965,35787,35669,35551
sakarya,sogutlu,14316,14291,14266,14241,14203,14165,14140,14115
sakarya,tarakli,9212,8998,8785,8571,8251,7930,7717,7503
samsun,42143,25820,25685,25550,25415,25213,25010,24875,24740
samsun,alacam,37490,36762,36035,35307,34216,33124,32397,31669
samsun,asarcik,18267,18385,18502,18620,18796,18972,19090,19207
samsun,ayvacik,24275,24549,24823,25096,25507,25918,26191,26465
samsun,bafra,157010,155269,153529,151788,149177,146566,144825,143084
samsun,carsamba,131194,131838,132481,133125,134091,135056,135699,136343
samsun,havza,53512,52900,52288,51676,50758,49839,49227,48615
samsun,kavak,27371,26681,25992,25302,24268,23233,22544,21854
samsun,ladik,22041,21585,21129,20673,19990,19306,18850,18394
samsun,merkez,437189,444582,451975,459368,470459,481548,488941,496334
samsun,salipazari,25113,24597,24081,23565,22792,22018,21502,20986
samsun,tekkekoy,50476,50297,50119,49940,49672,49404,49225,49046
samsun,terme,82608,81636,80664,79692,78235,76777,75805,74833
samsun,vezirkopru,106139,106355,106571,106787,107112,107436,107652,107868
samsun,yakakent,10632,10493,10354,10215,10008,9799,9660,9521
sanliurfa,akcakale,77261,86662,96063,105464,119566,133667,143068,152469
sanliurfa,birecik,74671,74937,75203,75469,75869,76268,76534,76800
sanliurfa,bozova,65842,68027,70211,72396,75673,78950,81134,83319
sanliurfa,ceylanpinar,67817,66609,65400,64192,62380,60567,59358,58150
sanliurfa,halfeti,34402,38798,43194,47590,54185,60779,65175,69571
sanliurfa,harran,56258,54326,52394,50461,47563,44665,42732,40800
sanliurfa,hilvan,38411,40951,43492,46032,49843,53653,56194,58734
sanliurfa,merkez,534706,472954,411202,349450,256822,164194,102442,40690
sanliurfa,siverek,224102,275856,327609,379363,456994,534624,586377,638131
sanliurfa,suruc,82247,97187,112127,127067,149478,171888,186828,201768
sanliurfa,viransehir,187705,177075,166446,155816,139871,123927,113297,102667
siirt,aydinlar,5054,7992,10931,13869,18277,22684,25623,28561
siirt,baykan,31500,29993,28487,26980,24721,22460,20954,19447
siirt,eruh,15455,20408,25360,30313,37742,45171,50123,55076
siirt,kurtalan,53521,62816,72111,81406,95349,109291,118586,127881
siirt,merkez,107313,97979,88645,79311,65311,51310,41976,32642
siirt,pervari,28834,28237,27639,27042,26146,25249,24652,24054
siirt,sirvan,21999,19733,17466,15200,11800,8400,6134,3867
sinop,ayancik,26047,25635,25222,24810,24192,23573,23160,22748
sinop,boyabat,45193,44848,44503,44158,43641,43123,42778,42433
sinop,dikmen,9475,9170,8866,8561,8104,7647,7342,7037
sinop,duragan,28792,28050,27308,26565,25452,24339,23596,22854
sinop,erfelek,13812,13567,13321,13076,12708,12340,12094,11849
sinop,gerze,23295,22864,22433,22002,21356,20709,20278,19847
sinop,merkez,49839,50193,50546,50900,51430,51960,52314,52667
sinop,sarayduzu,8217,7779,7341,6903,6247,5590,5152,4714
sinop,turkeli,20904,20074,19244,18414,17169,15923,15093,14263
sirnak,beytussebap,20659,20570,20481,20392,20259,20125,20036,19947
sirnak,cizre,82042,84993,87944,90895,95323,99749,102700,105651
sirnak,guclukonak,10300,10257,10215,10172,10108,10044,10001,9958
sirnak,idil,59993,60948,61902,62857,64289,65721,66675,67630
sirnak,merkez,69853,70900,71948,72995,74566,76137,77184,78231
sirnak,silopi,75192,77879,80567,83254,87285,91316,94003,96690
sirnak,uludere,35158,35500,35842,36184,36697,37210,37552,37894
sivas,akincilar,8353,8040,7726,7413,6943,6472,6159,5845
sivas,altinyayla,15713,15067,14422,13776,12808,11839,11194,10548
sivas,divrigi,23313,22546,21779,21012,19861,18710,17943,17176
sivas,dogansar,6314,5943,5572,5201,4645,4088,3717,3346
sivas,gemerek,54692,51335,47978,44621,39585,34549,31192,27835
sivas,golova,6272,5896,5521,5145,4582,4018,3643,3267
sivas,gurun,26742,26123,25504,24884,23956,23027,22407,21788
sivas,hafik,19213,18001,16790,15578,13760,11943,10731,9519
sivas,imranli,13883,13089,12295,11501,10311,9120,8326,7532
sivas,kangal,37049,35904,34759,33613,31896,30178,29032,27887
sivas,koyulhisar,24934,23466,21998,20530,18328,16126,14658,13190
sivas,merkez,299935,304318,308702,313085,319661,326235,330619,335002
sivas,sarkisla,49318,48397,47476,46555,45174,43792,42871,41950
sivas,susehri,44731,42567,40402,38238,34991,31744,29580,27415
sivas,ulas,14972,14505,14038,13571,12872,12171,11704,11237
sivas,yildizeli,76232,73292,70352,67411,63001,58591,55650,52710
sivas,zara,33425,32024,30623,29222,27121,25019,23618,22217
tekirdag,cerkezkoy,82685,88815,94945,101074,110269,119464,125593,131723
tekirdag,corlu,179033,184809,190586,196362,205027,213691,219468,225244
