year,region_code,province,registered_voters_loc,registered_voters_gen,registered_voters_ref,participation_rate,participation_rate15,participation_rate_loc,participation_ref,akp_gen,akp_15,chp_gen,chp_15,mhp_gen,mhp_15,hdp_gen,hdp_15,loc_mayors,mhp_loc,akp_loc,chp_loc,ref_yes,ref_no,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75
2013,TRA21,Aðrý,,,,,,,,,,,,,,,,,,,,,,0.35,51,28,26,4,25,18,4.53,12,13,1,6,3,2,0,0,0,0,1,7,2,2,1,0,0,0
2014,TRA21,Agri,161112,,,,,77.1,,,,,,,,,,12,0,8,0,,,0.39,52,24,17,4,28,30,3.27,8,10,3,3,2,0,0,0,0,0,1,5,1,0,1,1,0,0
2015,TRA21,Agri,,291539,,82.7,75.3,,,0,1,0,0,0,0,4,3,,,,,,,0.36,58,18,27,8,26,18,5.47,14,16,0,9,1,1,1,1,0,1,3,6,4,1,1,1,0,0
2016,TRA21,Agri,,,,,,,,,,,,,,,,,,,,,,0.35,55,22,27,5,22,20,5.32,22,7,4,10,4,1,0,1,2,0,1,5,1,0,0,0,0,0
2017,TRA21,Agri,,,292701,,,,71.2,,,,,,,,,,,,,43.1,56.9,0.32,30,12,19,3,37,21,5.19,20,8,2,9,6,1,0,0,1,1,0,3,2,2,1,0,0,0
2018,TRA21,Agri,,295475,,78.6,,,,1,,0,,0,,3,,,,,,,,0.47,66,34,38,3,27,27,3.72,12,8,1,5,1,2,2,0,1,0,1,3,1,3,0,0,0,0
2019,TRA21,Agri,177510,,,,,75.1,,,,,,,,,,12,0,4,0,,,0.48,67,34,35,4,32,28,2.6,10,4,1,1,3,1,0,2,2,0,0,1,2,0,1,0,0,0
2000,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,0,4,4,1,1,0,0,0,2,11,1,0,1,1,0,0
2001,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,0.36,26,10,24,6,12,10,5.22,8,9,0,4,3,0,0,0,1,0,0,6,2,1,0,0,0,0
2002,TRA22,Kars,,176648,,71.4,,,,2,,1,,,,,,,,,,,,0.37,29,15,13,13,10,15,8.64,16,12,0,7,2,4,1,2,0,0,1,4,2,3,1,1,0,0
2003,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,0.43,27,20,20,10,15,15,5.9,8,11,2,2,1,1,1,0,0,1,2,4,3,1,0,0,1,0
2004,TRA22,Kars,84384,,,,,62.6,,,,,,,,,,10,0,7,0,,,0.43,30,20,24,7,12,13,7.19,14,9,0,6,3,1,2,1,0,0,0,4,5,0,0,0,0,0
2005,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,0.62,52,21,33,8,17,13,8.18,13,13,0,6,4,0,0,1,0,0,0,6,4,2,1,0,0,0
2006,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,0.4,24,14,26,3,11,15,9.82,7,24,0,2,0,3,0,1,0,1,0,12,10,1,0,0,0,0
2007,TRA22,Kars,,170551,170557,73.3,,,61.4,2,,0,,1,,,,,,,,73.2,26.8,0.4,32,13,22,8,9,13,6.38,10,10,0,3,3,4,0,0,0,0,0,5,2,1,0,1,0,0
2008,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,0.42,29,12,33,8,13,14,9.29,17,12,0,10,3,2,1,0,0,1,2,5,3,1,1,0,0,0
2009,TRA22,Kars,79443,,,,,81.2,,,,,,,,,,10,1,3,2,,,0.46,37,19,27,3,12,16,5.5,11,6,0,2,4,2,3,0,0,0,1,3,0,0,1,0,1,0
2010,TRA22,Kars,,,183800,,,,68.6,,,,,,,,,,,,,65.5,34.5,0.54,36,26,32,6,18,14,5.92,11,7,0,4,4,1,1,1,0,0,0,3,2,2,0,0,0,0
2011,TRA22,Kars,,185361,,79.3,,,,2,,0,,0,,,,,,,,,,0.49,27,19,23,6,16,17,4.94,8,7,0,3,0,4,0,0,1,0,0,5,0,2,0,0,0,0
2012,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,0.38,33,22,10,4,11,9,4.91,13,2,1,2,1,1,4,2,2,0,0,1,1,0,0,0,0,0
2013,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,0.52,35,24,32,5,18,14,5.94,11,7,1,2,2,1,2,1,1,0,2,4,0,0,0,1,0,0
2014,TRA22,Kars,83222,,,,,83.6,,,,,,,,,,9,2,5,1,,,0.49,35,19,22,6,14,19,4.69,9,5,0,4,2,1,1,0,1,0,0,3,1,0,1,0,0,0
2015,TRA22,Kars,,183620,,81.3,78.6,,,1,2,0,0,0,0,2,1,,,,,,,0.49,32,22,22,5,16,22,9.17,19,8,1,7,4,1,4,1,1,0,1,2,1,1,1,1,0,1
2016,TRA22,Kars,,,,,,,,,,,,,,,,,,,,,,0.43,31,13,17,2,11,13,3.78,8,3,1,2,1,2,2,0,0,0,0,1,0,0,0,1,1,0
2017,TRA22,Kars,,,181257,,,,78.3,,,,,,,,,,,,,51,49,0.48,27,17,33,3,16,12,6.23,14,4,0,3,2,2,5,2,0,0,0,4,0,0,0,0,0,0
2018,TRA22,Kars,,181776,,81.1,,,,2,,0,,0,,1,,,,,,,,0.79,42,35,44,6,26,25,4.86,9,5,0,1,1,0,3,3,0,1,0,2,2,0,0,0,1,0
2019,TRA22,Kars,88261,,,,,81.2,,,,,,,,,,9,2,5,1,,,0.68,50,28,37,4,22,13,4.88,11,3,0,2,3,4,0,1,0,1,0,2,0,1,0,0,0,0
2000,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,1,2,0,0,0,0,0,1,5,1,1,0,0,0,0
2001,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,1.41,65,28,29,26,20,20,3.43,3,3,0,2,0,0,0,1,0,0,0,2,1,0,0,0,0,0
2002,TRA23,Igdir,,87307,,73.3,,,,0,,1,,,,,,,,,,,,1.66,72,22,30,23,44,18,7.38,3,10,0,1,1,1,0,0,0,0,0,8,1,0,1,0,0,0
2003,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,1.7,79,25,31,31,39,23,3.39,3,3,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0
2004,TRA23,Igdir,56846,,,,,68.6,,,,,,,,,,8,1,6,0,,,1.22,51,17,34,4,27,22,3.93,3,4,0,1,1,0,1,0,0,0,0,2,1,0,1,0,0,0
2005,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,1.24,48,25,38,3,20,27,2.79,2,3,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0
2006,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,1.17,54,16,22,4,23,22,3.88,4,3,0,1,2,0,1,0,0,0,0,0,2,0,1,0,0,0
2007,TRA23,Igdir,,89703,89761,72.7,,,57.8,1,,0,,0,,,,,,,,68.2,31.8,1.22,56,19,24,10,21,16,4.41,3,5,0,2,0,0,1,0,0,0,2,1,2,0,0,0,0,0
2008,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,1.15,55,25,19,7,18,22,7.11,7,6,0,2,2,2,0,0,0,0,1,3,1,0,0,0,0,1
2009,TRA23,Igdir,61467,,,,,82.9,,,,,,,,,,8,1,3,0,,,1.2,51,21,32,9,23,20,4.35,7,1,0,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0
2010,TRA23,Igdir,,,105349,,,,51.1,,,,,,,,,,,,,53.8,46.2,1.32,69,30,32,12,14,27,8.15,11,4,1,4,2,1,2,0,0,1,1,1,2,0,0,0,0,0
2011,TRA23,Igdir,,108494,,75.8,,,,0,,0,,1,,,,,,,,,,0.96,34,28,29,7,22,17,4.29,3,5,0,0,1,2,0,0,0,0,0,5,0,0,0,0,0,0
2012,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,1.01,48,23,37,4,21,17,7.38,11,3,0,10,0,0,1,0,0,0,0,2,1,0,0,0,0,0
2013,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,1.15,52,29,27,9,27,19,3.68,5,2,0,2,1,1,0,0,1,0,0,1,0,0,1,0,0,0
2014,TRA23,Igdir,69797,,,,,84.9,,,,,,,,,,7,0,2,1,,,1.04,40,19,33,10,29,23,3.14,5,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2015,TRA23,Igdir,,115783,,83.2,82.1,,,0,1,0,0,0,0,2,1,,,,,,,0.92,42,17,31,5,16,20,2.08,3,1,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2016,TRA23,Igdir,,,,,,,,,,,,,,,,,,,,,,1.2,49,36,37,9,28,23,4.15,8,0,0,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0
2017,TRA23,Igdir,,,117822,,,,76.8,,,,,,,,,,,,,34.8,65.2,1.02,41,22,30,15,19,23,4.64,7,2,0,2,2,0,1,0,2,0,0,2,0,0,0,0,0,0
2018,TRA23,Igdir,,119655,,78,,,,0,,0,,1,,1,,,,,,,,1.25,59,46,39,11,19,16,5.61,7,4,0,1,0,2,2,2,0,0,0,1,1,1,1,0,0,0
2019,TRA23,Igdir,76318,,,,,83.4,,,,,,,,,,7,2,1,0,,,1.29,60,42,48,11,23,18,4.54,6,3,0,0,2,2,1,1,0,0,0,1,1,0,0,0,0,1
2000,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0
2001,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,0.45,9,4,12,4,8,2,7.39,2,7,0,0,1,0,0,0,1,0,0,4,1,1,0,0,0,1
2002,TRA24,Ardahan,,78544,,75.3,,,,1,,1,,,,,,,,,,,,0.42,8,4,9,3,8,4,4.14,2,3,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0
2003,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,0.49,9,11,10,3,6,10,8.38,5,5,0,2,0,0,0,0,0,3,2,2,0,0,1,0,0,0
2004,TRA24,Ardahan,24108,,,,,66.1,,,,,,,,,,9,0,3,3,,,0.48,15,3,10,2,6,4,5.94,6,1,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0
2005,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,0.45,6,4,10,3,6,7,3.43,3,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
2006,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,0.37,7,4,7,1,3,5,8.69,5,5,0,3,0,2,0,0,0,0,0,3,2,0,0,0,0,0
2007,TRA24,Ardahan,,68828,68591,82.2,,,71.9,1,,1,,0,,,,,,,,66,34,0.31,4,1,4,2,6,3,4.41,1,4,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
2008,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,0.44,11,9,10,0,4,5,6.22,3,4,0,0,0,1,0,0,1,1,0,3,1,0,0,0,0,0
2009,TRA24,Ardahan,23932,,,,,81.1,,,,,,,,,,8,0,3,4,,,0.54,12,3,13,0,13,6,4.54,3,2,0,0,0,1,2,0,0,0,0,1,0,0,0,0,1,0
2010,TRA24,Ardahan,,,69508,,,,77.2,,,,,,,,,,,,,55,45,0.44,15,7,5,0,4,4,6.55,4,3,0,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0
2011,TRA24,Ardahan,,69160,,84.2,,,,1,,1,,0,,,,,,,,,,0.54,16,8,9,2,2,4,11.27,6,6,0,1,1,0,4,0,0,0,2,3,0,0,0,1,0,0
2012,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,0.66,23,5,12,4,3,6,8.41,4,5,0,3,0,0,1,0,0,0,1,2,1,1,0,0,0,0
2013,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,0.72,20,14,14,5,1,4,8.59,7,2,0,2,2,0,0,2,0,1,1,0,0,0,0,0,0,1
2014,TRA24,Ardahan,24244,,,,,84.3,,,,,,,,,,6,0,3,2,,,0.63,14,10,9,1,7,6,5.89,4,2,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0
2015,TRA24,Ardahan,,68906,,83.9,81.1,,,1,1,0,1,0,0,1,0,,,,,,,0.52,12,9,3,0,5,11,8,6,2,0,1,3,2,0,0,0,0,0,1,0,1,0,0,0,0
2016,TRA24,Ardahan,,,,,,,,,,,,,,,,,,,,,,0.54,15,5,6,1,5,6,9.11,8,1,1,0,2,2,0,2,0,1,0,1,0,0,0,0,0,0
2017,TRA24,Ardahan,,,67435,,,,80.3,,,,,,,,,,,,,44.3,55.7,0.47,15,6,8,1,1,5,7.16,5,2,0,2,1,0,1,0,1,0,0,0,0,0,0,0,2,0
2018,TRA24,Ardahan,,69405,,84.8,,,,1,,1,,0,,0,,,,,,,,0.66,15,15,10,1,2,2,6.12,3,3,0,0,0,0,2,0,0,1,0,2,1,0,0,0,0,0
2019,TRA24,Ardahan,27425,,,,,82,,,,,,,,,,7,0,4,3,,,0.8,27,8,14,2,10,5,9.17,9,0,0,1,3,2,1,1,0,1,0,0,0,0,0,0,0,0
2000,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,1,3,2,4,1,0,1,0,0,6,0,0,0,1,0,0
2001,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,0.84,136,76,139,23,33,47,4.5,18,13,0,5,4,3,4,2,0,0,0,4,2,4,1,2,0,0
2002,TRB11,Malatya,,449965,,72.7,,,,5,,2,,,,,,,,,,,,0.86,132,78,134,17,50,58,1.44,7,3,1,1,1,2,1,0,1,0,1,1,0,1,0,0,0,0
2003,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,0.94,145,88,154,36,58,56,1.72,6,6,0,0,2,1,1,0,2,0,1,5,0,0,0,0,0,0
2004,TRB11,Malatya,381090,,,,,67.2,,,,,,,,,,54,0,31,6,,,0.85,121,66,152,26,64,49,5.4,23,15,1,3,4,6,3,1,0,4,0,4,5,4,0,2,0,0
2005,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,0.86,127,89,159,16,59,42,4.51,21,11,1,4,7,1,3,2,0,1,0,3,3,0,1,2,1,1
2006,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,0.91,131,91,144,27,56,51,4.48,20,12,1,5,5,5,2,1,0,1,0,6,1,0,1,0,0,2
2007,TRB11,Malatya,,466784,468970,78.6,,,66.6,6,,1,,0,,,,,,,,82.2,17.8,1,156,114,167,33,64,58,3.34,15,9,1,2,4,2,2,1,0,1,0,2,3,1,0,0,0,0
2008,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,0.93,134,94,159,32,57,61,4.12,23,7,0,4,4,5,3,2,2,0,0,1,1,1,1,0,0,0
2009,TRB11,Malatya,392762,,,,,82.6,,,,,,,,,,53,3,34,8,,,1.09,169,112,199,25,75,60,3.94,24,5,0,5,4,6,5,1,1,2,0,2,1,0,2,0,0,0
2010,TRB11,Malatya,,,497796,,,,83,,,,,,,,,,,,,75.2,24.8,1.09,176,114,203,29,74,57,3.65,23,4,1,6,5,1,6,0,1,3,0,0,3,0,1,0,0,0
2011,TRB11,Malatya,,503323,,87.1,,,,5,,1,,0,,,,,,,,,,1.04,153,141,170,22,83,54,3.07,17,6,1,3,3,5,2,2,1,0,0,3,1,0,0,1,0,1
2012,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,1.09,167,118,211,29,69,61,4.6,27,8,1,6,6,5,4,1,3,1,0,3,0,2,1,0,2,0
2013,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,1.12,185,113,178,29,100,72,4.07,19,12,2,2,0,4,3,3,2,2,1,5,3,1,2,0,0,0
2014,TRB11,Malatya,524621,,,,,87,,,,,,,,,,13,0,11,2,,,1.26,226,140,213,49,92,89,4.31,24,9,0,5,7,2,4,2,0,4,0,5,1,2,1,0,0,0
2015,TRB11,Malatya,,531722,,84.3,86.3,,,5,5,1,1,0,0,0,0,,,,,,,1.14,182,150,198,49,82,67,4.02,21,10,0,8,5,3,0,1,3,1,1,3,2,1,0,1,1,1
2016,TRB11,Malatya,,,,,,,,,,,,,,,,,,,,,,1.36,208,168,255,54,120,73,3.6,23,5,0,6,6,4,3,2,1,1,0,1,1,1,0,0,1,1
2017,TRB11,Malatya,,,542991,,,,86.9,,,,,,,,,,,,,69.6,30.4,1.1,186,123,213,29,98,70,2.55,16,4,0,2,6,1,3,1,2,1,0,1,1,1,1,0,0,0
2018,TRB11,Malatya,,555349,,87.7,,,,4,,1,,1,,0,,,,,,,,1.27,174,165,261,43,102,82,3.16,17,8,0,4,4,1,2,4,2,0,0,4,2,0,2,0,0,0
2019,TRB11,Malatya,561708,,,,,82.6,,,,,,,,,,13,1,8,3,,,1.7,289,226,347,48,121,80,3.01,22,2,0,9,3,1,6,0,1,2,0,1,0,1,0,0,0,0
2000,TRB12,Elazýð,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,7,0,5,3,1,1,1,1,1,0,0,5,1,0,0,0,1
2001,TRB12,Elazýð,,,,,,,,,,,,,,,,,,,,,,1.05,147,73,84,22,43,50,4.81,17,8,1,5,4,4,1,1,1,0,1,3,0,1,1,0,1,1
2002,TRB12,Elazýð,,346330,,73.4,,,,4,,0,,,,,,,,,,,,1.26,185,68,98,20,51,57,3.06,5,11,0,1,2,1,1,0,0,0,0,6,2,2,0,1,0,0
2003,TRB12,Elazýð,,,,,,,,,,,,,,,,,,,,,,1.16,144,74,114,33,40,40,6.65,20,15,0,6,7,3,3,0,0,1,2,8,3,0,0,0,2,0
2004,TRB12,Elazýð,278713,,,,,65,,,,,,,,,,26,2,14,1,,,1.1,140,80,99,27,34,43,5.48,19,10,1,8,5,2,1,1,1,0,0,3,2,1,2,1,0,1
2005,TRB12,Elazýð,,,,,,,,,,,,,,,,,,,,,,1.12,133,67,93,51,38,38,4.5,21,3,1,5,7,0,3,1,0,4,1,2,0,0,0,0,0,0
2006,TRB12,Elazýð,,,,,,,,,,,,,,,,,,,,,,1.07,134,65,99,37,45,50,5.22,17,11,0,2,5,3,2,1,0,4,1,6,4,0,0,0,0,0
2007,TRB12,Elazýð,,356626,357055,76.6,,,67.5,5,,0,,0,,,,,,,,86.6,13.4,0.91,113,53,74,22,42,37,4.26,13,10,1,0,3,3,2,3,1,0,2,6,1,0,0,0,1,0
2008,TRB12,Elazýð,,,,,,,,,,,,,,,,,,,,,,1.06,145,72,106,34,58,38,5.69,18,13,1,5,2,3,1,3,2,1,0,5,4,0,0,1,1,2
2009,TRB12,Elazýð,283117,,,,,83.4,,,,,,,,,,26,3,8,1,,,1.24,148,81,126,42,61,50,5.83,17,15,1,4,4,2,2,3,0,1,0,3,4,2,2,2,1,1
2010,TRB12,Elazýð,,,374530,,,,80.8,,,,,,,,,,,,,81.8,18.2,1.1,132,80,115,34,45,59,3.26,11,7,1,0,4,1,3,0,2,0,0,2,4,0,1,0,0,0
2011,TRB12,Elazýð,,378305,,85.5,,,,4,,0,,1,,,,,,,,,,0.96,100,82,104,54,49,35,6.3,20,15,1,2,7,3,4,0,3,0,1,6,4,1,1,0,0,2
2012,TRB12,Elazýð,,,,,,,,,,,,,,,,,,,,,,1.18,127,110,152,43,47,47,6.06,22,12,1,4,4,6,2,3,1,1,0,1,2,4,1,2,1,1
2013,TRB12,Elazýð,,,,,,,,,,,,,,,,,,,,,,1.18,152,88,127,51,60,52,7.43,26,16,0,10,7,3,2,0,2,2,1,3,1,5,4,1,1,0
2014,TRB12,Elazig,300591,,,,,86.9,,,,,,,,,,20,1,12,0,,,1.2,171,77,140,54,46,58,4.75,19,8,0,3,4,4,1,3,2,2,1,2,2,0,2,1,0,0
2015,TRB12,Elazig,,396190,,83,84.2,,,3,4,0,0,1,0,0,0,,,,,,,1.05,142,75,110,39,52,56,4.37,17,8,0,6,3,2,2,2,0,2,0,2,0,2,2,2,0,0
2016,TRB12,Elazig,,,,,,,,,,,,,,,,,,,,,,0.89,114,80,121,35,43,38,4.68,21,6,0,3,4,2,5,3,3,1,0,2,2,0,2,0,0,0
2017,TRB12,Elazig,,,405354,,,,84.5,,,,,,,,,,,,,71.8,28.2,0.93,102,87,118,22,54,57,3.96,18,5,0,2,7,2,1,3,1,2,0,2,0,0,1,0,1,1
2018,TRB12,Elazig,,411019,,85,,,,4,,1,,0,,0,,,,,,,,1.08,121,106,159,22,51,49,3.05,16,2,0,5,4,0,1,3,1,2,0,1,0,1,0,0,0,0
2019,TRB12,Elazig,323241,,,,,80.5,,,,,,,,,,20,3,12,0,,,1.3,173,124,185,45,50,54,5.9,28,7,0,10,4,4,4,2,2,2,0,1,2,1,2,1,0,0
2000,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,0.55,38,20,17,2,16,11,2.9,2,5,0,1,0,0,0,0,0,1,0,4,0,0,0,1,0,0
2002,TRB13,Bingöl,,119040,,78.3,,,,3,,0,,,,,,,,,,,,0.63,49,12,26,6,7,13,0.82,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2003,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,0.62,43,18,19,5,11,18,5.32,5,8,0,3,0,2,0,0,0,0,2,5,1,0,0,0,0,0
2004,TRB13,Bingöl,70436,,,,,71.1,,,,,,,,,,13,0,9,1,,,0.62,42,15,10,7,9,10,6.91,8,9,0,1,4,2,0,1,0,0,1,3,2,0,0,1,1,0
2005,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,0.57,28,10,20,3,13,20,4.04,7,3,0,1,3,1,2,0,0,0,2,0,1,0,0,0,0,0
2006,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,0.63,54,12,11,5,4,15,6.02,8,7,0,3,1,1,2,0,1,0,0,6,0,1,0,0,0,0
2007,TRB13,Bingöl,,133886,134321,84,,,79.9,3,,0,,0,,,,,,,,95.8,4.2,0.55,34,16,12,1,8,17,4.79,4,8,0,3,1,0,0,0,0,0,1,0,2,3,0,1,0,0
2008,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,0.53,28,11,13,11,8,11,1.97,2,3,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0
2009,TRB13,Bingöl,86026,,,,,80.9,,,,,,,,,,13,0,7,1,,,0.61,45,10,8,9,9,8,3.52,6,3,1,0,2,0,1,2,0,0,0,3,0,0,0,0,0,0
2010,TRB13,Bingöl,,,154117,,,,76.9,,,,,,,,,,,,,95.3,4.7,0.61,47,22,13,10,12,11,4.7,10,2,0,5,3,1,0,1,0,0,1,1,0,0,0,0,0,0
2011,TRB13,Bingöl,,158171,,82.4,,,,2,,0,,0,,,,,,,,,,0.32,18,13,8,6,9,6,5.02,6,7,1,1,2,0,1,1,0,0,1,4,1,1,0,0,0,0
2012,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,0.5,36,20,21,4,9,8,6.48,9,8,0,5,2,0,0,1,0,0,1,5,0,1,0,1,0,0
2013,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,0.51,46,13,18,13,5,14,7.58,13,7,0,7,4,0,1,0,1,0,1,4,1,1,0,0,0,0
2014,TRB13,Bingöl,97912,,,,,84.2,,,,,,,,,,11,0,7,2,,,0.5,30,18,20,11,14,11,9.78,18,8,0,9,3,2,0,1,2,1,1,2,1,1,0,2,0,0
2015,TRB13,Bingöl,,170761,,80,78.6,,,2,2,0,0,0,0,1,1,,,,,,,0.46,30,14,14,10,14,13,6.75,13,5,1,3,3,4,0,1,0,1,0,1,2,0,1,0,1,0
2016,TRB13,Bingöl,,,,,,,,,,,,,,,,,,,,,,0.41,27,17,15,6,8,10,3.73,6,4,0,3,2,0,1,0,0,0,0,4,0,0,0,0,0,0
2017,TRB13,Bingöl,,,174843,,,,78.5,,,,,,,,,,,,,72.6,27.4,0.43,29,16,10,7,18,16,3.32,6,3,0,0,1,2,0,1,1,1,0,1,0,0,0,1,0,1
2018,TRB13,Bingöl,,180991,,81.3,,,,2,,0,,0,,1,,,,,,,,0.57,34,23,20,5,15,14,2.89,7,1,0,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0
2019,TRB13,Bingöl,111849,,,,,74.7,,,,,,,,,,11,1,9,1,,,0.57,37,27,21,10,14,8,4.99,8,6,2,0,5,0,0,0,1,0,0,4,0,0,1,1,0,0
2000,TRB14,Tunceli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,TRB14,Tunceli,,,,,,,,,,,,,,,,,,,,,,1.16,24,7,14,0,13,7,8.46,6,1,0,2,1,0,0,0,2,1,0,1,0,0,0,0,0,0
2002,TRB14,Tunceli,,57115,,74.3,,,,0,,2,,,,,,,,,,,,1.01,25,4,13,3,4,10,10.85,6,3,0,1,1,2,1,1,0,0,0,0,0,0,1,0,1,1
2003,TRB14,Tunceli,,,,,,,,,,,,,,,,,,,,,,1.15,30,10,18,2,7,9,10.82,6,3,0,2,2,0,0,1,0,1,0,2,0,1,0,0,0,0
2004,TRB14,Tunceli,35987,,,,,67.9,,,,,,,,,,10,0,5,3,,,1.07,21,10,17,2,5,10,6,3,2,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0
2005,TRB14,Tunceli,,,,,,,,,,,,,,,,,,,,,,1.01,22,7,16,5,2,12,17.96,12,3,0,0,4,1,1,0,2,3,0,2,0,1,0,0,0,0
2006,TRB14,Tunceli,,,,,,,,,,,,,,,,,,,,,,1.29,25,16,16,9,5,8,9.55,5,3,0,1,2,0,0,1,0,1,0,1,1,0,0,0,1,0
2007,TRB14,Tunceli,,55363,55094,77.7,,,62.1,0,,0,,0,,,,,,,,35,65,1.36,24,17,25,2,8,9,2.38,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,TRB14,Tunceli,,,,,,,,,,,,,,,,,,,,,,1.03,15,16,16,5,8,1,5.87,3,2,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1
2009,TRB14,Tunceli,34326,,,,,81,,,,,,,,,,10,0,2,2,,,1.12,18,13,19,5,9,2,12.98,10,1,0,1,5,0,0,3,0,1,0,1,0,0,0,0,0,0
2010,TRB14,Tunceli,,,56409,,,,67.2,,,,,,,,,,,,,19,81,1.56,31,12,33,3,12,5,16.27,10,3,0,4,1,1,2,0,0,2,0,1,1,1,0,0,0,0
2011,TRB14,Tunceli,,57623,,82,,,,0,,2,,0,,,,,,,,,,1.16,23,14,15,8,7,9,7.42,4,2,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1
2012,TRB14,Tunceli,,,,,,,,,,,,,,,,,,,,,,1.49,24,19,33,4,14,11,3.5,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2013,TRB14,Tunceli,,,,,,,,,,,,,,,,,,,,,,1.4,25,18,28,4,9,10,5.82,3,2,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0
2014,TRB14,Tunceli,38707,,,,,83.4,,,,,,,,,,9,0,1,4,,,1.28,29,12,26,1,12,11,11.63,8,2,0,2,3,1,0,0,2,0,1,0,1,0,0,0,0,0
