year,province,region,popi,gdpk,educ_hsch,educ_coll,prisons_total,prisons_closed,prisons_open,prisons_semiopen,prisons_juvenile,cr_educ_total,cr_educ_illiterate,cr_educ_litnoschool,cr_educ_primaryfour,cr_educ_primaryeight,cr_educ_juniorhs,cr_educ_hs,cr_educ_uni,cr_educ_unknown,cd_type_total,cr_type_total,cd_type_homicide,cr_type_homicide,cd_type_assault,cr_type_assault,cd_type_sexual,cr_type_sexual,cd_type_kidnapping,cr_type_kidnapping,cd_type_defamation,cr_type_defamation,cd_type_theft,cr_type_theft,cd_type_robbery,cr_type_robbery,cd_type_swindling,cr_type_swindling,cd_type_drugspc,cr_type_drugspc,cd_type_drugsuse,cr_type_drugsuse,cd_type_forgery,cr_type_forgery,cd_type_badtreatment,cr_type_badtreatment,cd_type_embezzlement,cr_type_embezzlement,cd_type_bribery,cr_type_bribery,cd_type_smuggling,cr_type_smuggling,cd_type_traffic,cr_type_traffic,cd_type_forestry,cr_type_forestry,cd_type_arms,cr_type_arms,cd_type_bankruptcy,cr_type_bankruptcy,cd_type_military,cr_type_military,cd_type_cheque,cr_type_cheque,cd_type_threat,cr_type_threat,cd_type_propertydamage,cr_type_propertydamage,cd_type_performanceprevention,cr_type_performanceprevention,cd_type_familyprotection,cr_type_familyprotection,cd_type_other,cr_type_other,cd_type_unknown,cr_type_unknown,loc_mayors,crude_divorce_rate100,divorce_byd_1_10,divorce_byd_11_15,divorce_byd_16,divorce_byd_below1,divorce_byd_1,divorce_byd_2,crude_suicide_rate1000,suicides_male_total,suicides_female_total,suicides_male_below15,suicides_male_15,suicides_male_25,suicides_male_35,suicides_male_45,suicides_male_55,suicides_male_65,suicides_male_75,suicides_female_below15,suicides_female_15,suicides_female_25,suicides_female_35,suicides_female_45,suicides_female_55,suicides_female_65,suicides_female_75,vs_akp,vs_chp,vs_mhp,vs_hdp,ms_akp,ms_chp,ms_mhp
2004,kastamonu,karadeniz,332105.5,4788,41041.5,12128.5,9,8,1,0,0,994,19,7,656,0,161,132,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,.95,66,44,89,20,30,21,8.42,17,13,1,4,2,1,3,4,0,2,1,4,4,1,0,1,1,0,39,22,7,11,.52380955,.14285715,.19047619
2005,kastamonu,karadeniz,321262.875,5443,40965.375,12387.625,7,6,1,0,0,229,5,3,171,0,19,24,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.93,64,48,69,13,44,30,5.32,13,6,0,0,2,4,1,2,2,2,0,1,1,0,0,2,0,2,39,22,7,11,.66666669,.30769232,0
2006,kastamonu,karadeniz,310420.25,5669,40889.25,12646.75,7,6,1,0,0,606,13,11,403,1,84,84,10,0,602,606,22,11,38,31,9,5,0,1,9,12,20,19,0,0,30,24,2,1,0,0,5,3,1,1,1,1,1,0,2,3,0,0,16,15,22,21,387,420,3,4,0,0,0,0,0,0,0,0,0,0,34,34,0,0,,.98,75,47,77,16,44,27,5.3,12,7,0,1,5,2,2,1,1,0,0,0,2,1,0,0,1,2,39,22,7,11,.66666669,.30769232,0
2007,kastamonu,karadeniz,299577.625,7140,40813.125,12905.875,7,6,1,0,0,928,13,11,572,22,118,185,7,0,957,928,15,14,39,42,5,2,0,1,5,8,20,12,1,4,18,16,4,4,0,1,8,11,1,2,0,0,0,0,3,2,8,8,11,11,18,15,772,743,5,3,0,0,0,0,0,0,0,0,0,0,24,29,0,0,,.82,73,38,62,15,34,21,5.84,15,6,0,1,4,1,3,1,3,2,0,2,2,0,0,1,0,1,3,0,1,11,.66666669,.30769232,0
2008,kastamonu,karadeniz,288735,8170,40737,13165,7,6,1,0,0,407,5,13,266,15,31,68,9,0,422,407,13,22,33,38,7,8,2,0,8,5,11,11,2,2,44,39,2,3,0,0,5,3,0,0,0,0,1,0,0,1,6,5,4,2,20,18,214,211,4,1,0,0,0,0,0,0,0,0,0,0,46,38,0,0,,1,73,49,88,17,45,25,6.1,17,5,0,1,3,5,3,2,2,1,0,1,0,1,1,1,0,1,46,29,7,11,.66666669,.30769232,0
2009,kastamonu,karadeniz,289287,6928,42105,16639,5,5,0,0,0,365,6,14,200,27,38,60,4,16,304,365,8,9,25,30,4,2,0,0,6,8,7,12,3,1,20,20,0,0,0,0,3,5,1,1,0,0,0,0,1,0,6,4,3,5,6,9,183,223,0,0,0,0,0,0,0,0,0,0,0,0,28,36,0,0,21,1.22,85,63,108,18,42,46,5.55,14,6,0,1,0,2,2,4,3,2,0,1,1,2,1,0,0,1,46,29,7,11,.66666669,0,.23809524
2010,kastamonu,karadeniz,291887,8292,46348,17306,5,5,0,0,0,483,9,16,158,123,59,89,19,10,445,483,19,20,28,34,1,3,0,1,5,5,6,11,0,3,19,14,0,2,1,1,7,9,0,0,0,1,1,1,1,3,4,6,4,4,8,12,313,307,1,2,0,0,0,0,0,0,0,0,0,0,25,43,2,1,,1.2,82,62,128,12,46,34,3.61,12,1,0,2,1,4,2,1,1,1,0,0,0,1,0,0,0,0,46,29,7,11,.64102566,.35897437,0
2011,kastamonu,karadeniz,291026,8800,48292,20445,5,5,0,0,0,517,6,19,166,156,45,101,15,9,409,517,13,39,30,43,0,4,0,3,9,21,6,16,6,11,3,4,2,10,0,0,10,8,0,0,0,0,0,0,1,2,1,1,2,5,15,25,261,268,1,1,13,11,0,0,0,0,0,0,0,0,36,45,0,0,,1.38,101,70,126,23,51,32,4.44,10,6,0,2,4,0,0,0,4,0,0,2,2,0,0,1,1,0,2,0,1,11,.64102566,.35897437,0
2012,kastamonu,karadeniz,291946,9021,50381,21945,5,3,2,0,0,808,8,26,238,212,125,150,25,24,738,808,32,58,77,86,7,25,3,6,20,18,28,20,8,6,3,7,12,7,0,0,19,15,1,1,3,5,0,0,4,4,4,5,2,2,40,44,380,373,1,1,4,1,0,0,0,0,0,0,0,0,90,124,0,0,,1.25,97,69,118,4,37,37,8.06,23,6,0,4,5,2,2,3,4,3,0,0,0,1,1,1,1,2,39,28,10,11,.64102566,.35897437,0
2013,kastamonu,karadeniz,300921,9312,50051,28351,4,4,0,0,0,900,12,28,262,293,82,174,25,24,882,900,43,59,177,160,18,40,14,23,28,31,35,44,5,15,5,7,20,25,3,3,23,23,0,0,5,6,0,0,15,13,10,8,5,5,73,54,215,208,0,0,0,0,41,51,28,21,20,19,16,16,83,69,0,0,,1.06,86,59,97,10,40,18,4.4,14,2,1,1,4,0,4,0,1,3,0,0,1,0,0,0,0,1,39,28,10,11,.64102566,.35897437,0
